antigüedad,cuartos,cuartosdebaño,estacionamiento,metroscuadradostotales,precio,titulo,latitud,longitud,preciomt2
0,4,3,2,200,172000,Oportunidad Se Vende Casa por Estrenar en El Condado Vicolinci,-2.047978899999999,-79.9050615,860.0
2,0,0,0,435,150000,"Casa en Venta, Miraflores, Av Central",-2.165758301058737,-79.92092605819704,344.82758620689657
18,4,4,2,630,450000,Hermosa Casa en Via a Samborondon,-2.112218073202756,-79.87090488941038,714.2857142857143
0,3,3,2,200,289000,Vendo Casas en Mocoli,-2.099487733731183,-79.86406145489809,1445.0
25,4,3,2,98,100000,"Venta Casa de 1 Planta en Alborada 11ava Etapa, Cerca Albocentro",-2.132938,-79.89878770000001,1020.4081632653061
10,4,3,2,190,180000,Ciudad Celeste - Casa en Venta - 4d - Us$,-2.072444933159559,-79.83653551529937,947.3684210526316
8,4,4,2,465,550000,Vendo Casa Urbanización Entre Lagos - Samborondón / Km 5 (Esquinera),-2.0907999,-79.87306769999998,1182.7956989247311
15,5,5,2,373,205000,"Casa en Venta Cdla. Urdenor 1, Norte de Guayaquil",-2.146297399999999,-79.9031776,549.5978552278821
0,1,1,3,77,71000,Casa - Samborondón,-2.0237764,-79.9178709,922.077922077922
0,3,3,1,96,64338,Villa Bonita Modelo Adriana Comercial Oportunidad!,-2.065543000357057,-79.97534527060543,670.1875
0,3,2,2,140,155000,Se Vende Hermosa Casa en Urb. Napoli de Tres Dorm. Buen Precio,-2.036681883087718,-79.87056792579494,1107.142857142857
0,3,3,0,260,220000,"Venta de Casa Ubicada en Samborondon, Guayaquil, en Cuidad Celeste",-2.070134074047136,-79.84138500793455,846.1538461538462
30,3,4,0,238,105000,Venta Villa Alborada 1era Etapa de 1 Sola Planta + Suite,-2.1426126,-79.8947804,441.1764705882353
0,4,5,0,307,360000,Venta Casa de Estreno - 2 Pisos en Vía Samborondón - A. Marín,-2.106763492260194,-79.87286030787658,1172.6384364820847
0,3,3,0,96,63950,Villa Bonita Vendo Casa Amplia 2 Plantas,-2.061559499999982,-79.97740534726563,666.1458333333334
20,4,3,2,350,260000,Vendo Casa en Primeros Kms de Samborondon,-2.059297785363572,-79.87595557667271,742.8571428571429
0,1,0,3,106,95000,Casa Para Venta en La Joya Etapa Coral,-0.3009383,-76.856427,896.2264150943396
