antigüedad,cuartos,cuartosdebaño,estacionamiento,metroscuadradostotales,precio,publicado,tipodevendedor,titulo,lat,long
9,4,4,1,227,158000,,,Oportunidad! Venta Casa Ciudad Celeste: Via Samborondon - Guayaquil: 4 Habitaciones,-2.073659197271514,-79.84677773342196
15,4,5,1,320,299000,,,Amplia y Acogedora Casa en Km 5.5 Via Samborondon,-2.056239895053519,-79.87696408726231
20,9,9,4,550,250000,,,Casa en Venta Lomas de Urdesa - Guayaquil - F. Rodríguez,-2.161141816406824,-79.9067272619713
A estrenar,0,0,0,460,550000,,,Hermosa Casa de Venta en Rio Grande - Via Samborondon,-2.148867166418101,-79.86449706923793
,1,0,3,142,125000,,,Casa de 2 Plantas en Veranda a Precio de Oportunidad - Norte de Guayaquil,-2.0657732,-79.9092051
6,3,3,2,238,190000,,,Vendo Linda Casa Esquinera Ciudad Celeste,-2.070203721233457,-79.83651778028718
2,4,3,2,238,220000,,,En Venta Casa en Urb. Terranostra - A. Jurado,-2.187669659405457,-80.00269257409667
1,3,4,2,135,106000,,,Vendo Casa en Villa Club Floral Esquinera 2 Plantas Estrene Cerca C. C El Dorado,-2.043174033823704,-79.89250298623045
40,4,3,1,260,105000,,,Vendo Casa Rentera en El Centro Sur,-2.2097199,-79.9032393
10,4,3,2,220,338000,,,Venta Casa en Ciudad Colon 4 Dorm. Oportunidad,-2.153284520839329,-79.9059544042251
,1,2,3,93,107000,,,Casa - Vía a La Costa,-2.1884336,-80.0272384
,1,2,3,316,375000,,,Casa - Samborondón,-2.107305499999999,-79.872252
7,4,4,1,351,225000,,,Vendo Linda Casa en Ciudad Celeste de Oportunidad - Samborondón,-2.071838067195415,-79.84194695822754
30,4,3,1,170,90000,,,Vendo Villa Amplia en Alborada 7 Ma Etapa,-2.139725475029723,-79.90023314760742
12,0,0,0,447,600000,,,Venta de Edificio,-2.201967023562943,-79.89564727168886
En construcción,3,2,1,121,85900,,,Urbanizacion l'Ogare: Hermosas Casas Desde $85.900,-2.0206313,-79.86745050000002
1,0,0,0,493,179000,,,"Casa en Venta, Miraflores. 200.59 m² Terreno y 292.47 m² Construccón",-2.165758301058737,-79.92092605819704
1,4,4,0,250,230000,,,En Venta Casa Cdla. Bellavista de 250 m² - P. Silva - G. Sosa,-2.1315044,-79.92881290000003
7,3,2,1,153,78000,,,"Venta Casa, Urb. La Joya, Etapa Esmeralda, Cerca a C. C. Mix Center",-2.046665273653481,-79.9114201526184
8,4,4,4,278,215000,,,Vendo Casa Urb. Portal Al Sol Vía a La Costa,-2.183062957823979,-79.98330757301636
28,4,4,4,300,175000,,,Urdesa Vendo Linda Casa en Conjunto Cerrado!,-2.166123793087345,-79.91167234129125
28,3,2,0,200,160000,,,Propiedad en Venta en Urdesa Central - A. Cobos,-2.168220977270885,-79.91281856983642
8,3,2,1,185,125000,,,Venta de Casa de un Solo Piso en Ciudad Celeste,-2.0709717,-79.84297939999999
20,7,5,0,630,185000,,,"Casa en Venta en El Norte de Guayaquil, en Urdesa Central Oportunidad",-2.1584054,-79.90457709999998
A estrenar,4,5,2,330,380000,,,Venta Casa por Estrenar en Estancias del Río con 4 Dorm. 300 m² de Construcción,-2.064393409392338,-79.87350542377317
12,3,3,1,161,125000,,,Linda Casa Km 10.5 de La Vía a Samborondon,-2.05864326417536,-79.87140617619627
10,6,5,2,750,350000,,,Casa de Venta en Puerto Azul con Acabados de Lujo - Vía a La Costa,-2.187145471490973,-79.97014873815459
4,3,3,1,255,399750,,,Propiedad de Lujo Isla Mocolí,-2.104158358380436,-79.86055015522538
A estrenar,4,4,2,410,370000,,,Por Estrenar en 10 Meses Casa en Isla del Rio - Mocoli,-2.1043031,-79.86048310000001
En construcción,3,3,2,600,350000,,,"Casa Vista Al Rio, Venta en Planos, en Isla Mocoli, Personalizada",-2.102442901125957,-79.8670732875496
,0,0,5,130,69000,,,Casa Rentera - Excelente Inversión!,-2.14179300774517,-79.8887719538418
26,5,5,2,650,360000,,,Casa en Venta en Los Ceibos - Santa Cecilia de Tres Pisos,-2.166472766498118,-79.94462968360597
8,3,2,1,473,198000,,,Casa de Venta en Urbanización Belo Horizonte (Vía a La Costa),-2.1875144,-79.98125970000001
A estrenar,4,4,1,112,70000,,,Venta Casa Urbanización Gran Victoria Samborondon Salitre,-2.017307882961421,-79.8687605037689
20,3,3,0,365,248000,,,Vendo Amplia Casa El Urbanización Privada,-2.163446693310037,-79.9461579465576
En construcción,3,3,1,152,137000,,,Casa en Venta en Urbanización Villa Club de Estreno,-2.040180204493203,-79.89310974368897
28,6,4,0,105,90000,,,Venta Casa con Lindos Acabados en Las Orquídeas / Bm,-2.087468948017258,-79.9167950629087
3,4,4,2,257,200000,,,"Vendo Casa Ciudad Celeste, Vía Samborondón",-2.073098658368951,-79.84152448280332
13,3,3,0,208,185000,,,"En Venta Casa en Urb. Acuarelas del Río, Cerca del Parque Central - A. Jurado",-2.1346815,-79.8842826
En construcción,3,1,0,105,37990,,,Villa Paula – Desde $37.990,-2.1044184,-79.93503229999999
11,3,1,0,192,95000,,,Casa en Barrio Cristo del Consuelo Av Coronel Jesus Reyes Quitanilla y Calle 42b,-2.2177791,-79.9010844
10,4,6,2,550,498000,,,Vendo Casa y Suite en Samborondon,-2.076598592743889,-79.87585688891602
A estrenar,4,5,2,325,300000,,,Venta de Hermosa y Comoda Casa en El Km 1 Via Samborondon,-2.1447394,-79.8644152
3,3,3,0,127,68000,,,Venta de Casa en Urb. La Joya - Vía La Aurora,-2.028871996625323,-79.92029926347658
A estrenar,3,3,1,120,128000,,,Napoli Vendo Casa con Piscina,-2.036473790287801,-79.87132086459349
10,3,3,1,367,390000,,,"Urbanización Laguna Club, Vía a La Costa Km 11.5",-2.1856104,-79.9899024
5,2,2,1,112,65000,,,Venta de Casa 1 Planta en La Joya Etapa Diamante,-2.0409553,-79.91542219999997
A estrenar,5,2,2,138,115000,,,Casa por Estrenar con Modernos Acabados de Venta en La Joya.,-2.033715802571457,-79.91484250370485
A estrenar,3,3,1,139,116000,,,"Casa en Venta en Urb. La Joya Etapa Gema, Nueva Etapa",-2.028690464744316,-79.92175527993163
En construcción,4,4,2,390,650000,,,Vendo Casa en Proyecto con Vista Al Lago en Isla Mocoli - Peninsula,-2.1122977,-79.8583572
8,3,2,2,180,100000,,,Vendo Casa en Villa Club. Etapa Galaxia.,-2.0363056,-79.8933184
