antigüedad,cuartos,cuartosdebaño,estacionamiento,metroscuadradostotales,precio,publicado,tipodevendedor,titulo,lat,long
A estrenar,4,5,2,430,550000,,,Venta Vendo Samborondon Casa 4 Dorm. y Piscina en La Isla Mocoli,-2.102442901125957,-79.8670732875496
,A estrenar,4,0,3,178000,,,Casa - Samborondón,-2.068189299999999,-79.8329291
30,3,3,2,492,270000,,,Vendo Ceibos. Casa de 1 Planta Mas Local Comercial. 3 Habitaciones $270.000,-2.163373846547868,-79.93980812695315
En construcción,4,4,1,259,158000,,,"Casa en Venta Via a La Costa Urb. Costa Real Usd $158,000",-2.200948591253969,-80.06013034439695
10,3,3,2,454,375000,,,Vendo Casa en Samborondón,-2.082085910194585,-79.87252865239259
A estrenar,4,5,3,275,225000,,,"Urbanización Terranostra, Vía a La Costa.",-2.1880985,-79.99968849999999
2,5,3,1,190,140000,,,Ciudad Celeste Oportunidad Amplia Casa de 1 Planta,-2.074902926756008,-79.85795718059603
3,4,4,2,487,515000,,,Maravillosa Casa en Mocolí con Suite Independiente,-2.100078783507649,-79.86516087252198
5,5,6,2,533,850000,,,Venta Casa Lujo de 5 Dorm en Urbanizacion de Samborondon Km 2,-2.117753077045951,-79.86812889117436
3,3,2,1,200,168000,,,Venta Casa 3 Dorm. Ciudad Celeste Etapa Peninsula,-2.120041063002137,-79.86572485790316
,3,4,2,260,260000,,,"Vendo Casa de Estreno en La Urbanización Ciudad Celeste, Etapa Arboleda Linda Ubicación
área Social",-2.0681672,-79.8332148
8,4,3,2,178,180000,,,Oportunidad Casa en Belo Horizonte Via a La Costa,-2.189836316424229,-79.9669744879032
A estrenar,3,3,2,185,192500,,,"Vendo Casa en La Garzota, Dentro de Conjunto Cerrado con Área Social",-2.147735021705053,-79.8879758922821
5,4,4,4,750,1150000,,,"Hermosa Casa Minimalista en Puerto Azul, Mansión de Lujo",-2.3839594,-80.3558752
3,3,3,2,220,250000,,,Via a La Costa Km 14 Villa Venta Urbanización Privada,-2.2189483,-80.08494250000001
8,4,5,2,380,310000,,,Vendo Casa Vía Samborondón,-2.128753874171994,-79.86621427740477
33,7,5,0,316,75000,,,Casa Rentera Sector del Alto Movimiento,-2.206205968113235,-79.92750252142639
10,10,5,2,1044,560000,,,"Espectacular Casa en Puerto Azul, Vendo, 1.044 m²",-2.192523397358648,-79.9660154084595
12,4,4,2,400,380000,,,Venta de Villa Urbanización La Puntilla,-2.1294273,-79.8667337
4,3,3,2,320,285000,,,Se Vende Hermosa Casa en Samborondon La Fontana,-2.126994452890432,-79.8640680263187
13,0,0,0,1167,410000,,,"Guayaquil - Urdesa, Casas en Venta con Piscina, 1.167,75 m²",-2.168182256260577,-79.90073965734655
4,4,4,0,158,78000,,,Casa Multifamiliar en Buen Estado Lista Para Vivi,-2.204057862696783,-79.92329370118864
7,3,4,2,464,327,,,Vendo Bella Casa Una Planta en Samborondón,-2.085503015388085,-79.87406778540037
26,5,5,2,490,649000,,,Venta de Villa en Urb La Puntilla Al Rio 5 Dorm.,-2.1294273,-79.8667337
19,4,5,2,160,250000,,,Hermosa Casa de Venta en La Garzota,-2.142558532358769,-79.88984511694946
6,6,4,3,300,220000,,,"Venta Casa Amoblada en Manglaralto, Ruta del Spondylus, Santa Elena",-1.850533,-80.744888
2,3,4,0,380,490000,,,"Casa en Venta en Ceibos Norte, Ceibos, Guayaquil",-2.1520073,-79.9430537
30,5,4,3,945,800000,,,Propiedad Comercial Ave F Boloña Kennedy Vieja Zona Policentro Clínica Kennedy,-2.176864538245812,-79.89824356162416
1,3,3,2,300,240000,,,Venta Casa por Estrenar Urb Puerto Azul 3 Dorm.,-2.18909279,-79.96796235
10,3,2,1,128,68000,,,"Venta Casa en La Joya Etapa Rubi, Cerca Mix Center",-2.047608808656506,-79.91596917910766
,1,1,3,104,90000,,,Casa - Samborondón,-2.0495844,-79.9146923
10,3,3,2,300,230000,,,Casa en Venta en Ceibos Norte Cerca Riocentro Ceibos - Mariuxi Rugel,-2.164052762307506,-79.9485268773551
En construcción,4,5,0,410,490000,,,Proyectos a Desarrollar en Exclusiva Urbanización,-2.104158358380436,-79.86055015522538
18,4,4,4,640,650000,,,Elegante y Amplia Casa en Urbanizacion Exclusiva - Samborondon,-2.14881046332151,-79.86345115316777
5,4,4,2,723,535000,,,"Samborondon Km 6 - 4 Dorm. - de 1 Piso - Us$535,000",-2.109435103982664,-79.87100059589841
11,3,3,2,250,270000,,,*vendo Acogedora Casa en Urb Bouganville,-2.1312469,-79.8678337
3,5,5,3,600,850000,,,La Mejor Casa en Mocoli. 5 Dorm. Mas Uno de Visitas,-2.104369310480908,-79.86283719219358
9,3,4,2,127,110000,,,Venta de Casa en Urbanización Castilla,-2.0417313,-79.86323270000003
80,6,6,0,300,300000,,,Venta de Villa en Las Peñas,-2.1828756,-79.8746797
A estrenar,4,3,2,121,95000,,,La Joya por Construir Entrega 8 Meses,-2.028871996625323,-79.92029926347658
5,3,2,0,128,78000,,,Vendo Casa de 2 Pisos - Urb. Castilla - R. Hurtado,-2.0417313,-79.86323270000003
A estrenar,4,3,2,397,342000,,,Casa en Venta Via a La Costa (Terranostra),-2.188112932987275,-79.9998047529175
,1,1,3,300,300000,,,Casa - Samborondón,-2.144163199999999,-79.861259
A estrenar,4,4,2,102,75000,,,Se Vende Casa de Cuatro Dorm. en Gran Vittoria,-2.0258278,-79.87397329999999
27,5,4,0,102,90000,,,Casa en Venta en Sauces 5 Peatonal 2 Plantas Esquinera Remodelada,-2.1232454,-79.89198110000001
20,5,4,0,1860,80000,,,Vendo Casa Sur de Guayaquil por Mercado Las Esclusas Oportunidad,-2.259114045469179,-79.89225832380373
10,2,2,1,120,180000,,,Venta - Casa en Cdla Vernaza Norte,-2.152645621429058,-79.89167323337404
A estrenar,3,2,2,101,62000,,,Casa por Estrenar de Venta en Urbanización Villa del Rey,-2.022085630587345,-79.91699167672118
8,4,4,2,240,310000,,,Samborondon Primeros Kms Moderna y Amplia Casa de Venta,-2.137652068040713,-79.86503898638921
4,3,2,1,112,91000,,,"Venta de Casa en Urb. La Joya Etapa Coral, Cerca a C. C. Mix Center",-2.046665273653481,-79.9114201526184
20,4,3,3,300,196000,,,Santa Cecilia - Venta Casa Estilo Colonial - 4 Hab - Patio + Suite,-2.164392858638043,-79.94205476295167
A estrenar,4,4,2,465,491000,,,"Vendo Casa en Isla del Río, Mocolí",-2.1043031,-79.8604831
25,6,8,3,1750,850000,,,Se Vende Linda Casa Urbanización La Puntilla con Hermosa Vista Rio Daule,-2.154315303094477,-79.86580151741049
A estrenar,5,3,2,200,200000,,,"Venta Casa, 3 Dorm. Ceibos Norte",-2.1520073,-79.94305370000001
20,3,2,1,98,58000,,,"Casa en Venta, de Oportunidad - Esteros 3",-2.248085277117643,-79.90657580793066
,0,1,3,300,125000,,,Vendo Casa en La Fae.,-2.173355037903842,-79.88473669101563
A estrenar,3,3,2,526,550000,,,"Isla Mocoli - Urb Isla del Rio - Casa 3 Dorm. - Us$550,000",-2.099487733731183,-79.86406145489809
A estrenar,3,2,1,108,49000,,,"Casa en Venta en Ciudad Santiago, Esquinera, 3 Dorm. $49000",-2.0363426,-79.9455173
5,4,6,2,430,420000,,,"Portofino - Casa 4 Dorm. - Piscina - Us$450,000",-2.184776968954733,-79.98472174040523
11,5,3,1,210,143000,,,Se Vende Casa con Garaje Av Principal Cdla. La Pradera Sur de Guayaquil,-2.237889760945888,-79.89158307308577
En construcción,3,3,0,160,123000,,,Casa en Venta en Villa Club,-2.0407573,-79.89425749999998
A estrenar,4,4,2,560,348000,,,"Casa en Venta en Urb. Estancias del Rio, Samborondon",-2.063510287464471,-79.88037138524169
2,3,2,1,92,69000,,,Vendo Urb. Villa del Rey Casa de 2 Plantas Cerca a Plaza Tia La Joya,-2.015770268889875,-79.92172309342345
A estrenar,3,3,1,165,135000,,,Villa Club Etapa Hermes Casa con 135 m² de Construcción.,-2.03822820156968,-79.89422093967283
A estrenar,3,3,2,420,360000,,,Oportunidad Estrene Casa en Isla del Río Mocoli,-2.0988941,-79.8640173
15,5,7,2,580,348000,,,Hermosa Casa de Venta en Los Parques,-2.1731919,-79.9437532
A estrenar,4,2,2,1191,250678,,,Vendo Casa en Proyecto La Reserva - Vía a La Costa,-2.256415168108558,-80.14807167180174
6,0,0,0,1197,620000,,,"Casa en Venta, Guayaquil Tennis Club, Vía Samborondón",-2.1170338,-79.87147010000001
5,4,4,2,600,600000,,,Venta de Casa Km 7.5 Via a Samborondon 4 Dorm.,-2.138389146670578,-79.86576577693785
29,4,6,4,900,1199000,,,Venta de Villa Espectacular con Departamento Vía Samborondon,-2.090799899999999,-79.8730677
5,4,5,2,460,420000,,,Alquila/vende Hermosa Casa 4 Dorm. Laguna del Sol,-2.082085910194585,-79.87252865239259
,0,1,7,199,65000,,,Casa - Sur de Guayaquil,-2.248850599999999,-79.8979918
A estrenar,3,3,0,136,119000,,,"Casa en Venta en Villa Club Nueva, 3 Cuartos, 3 Baños $119.000",-2.0342721,-79.89789830000001
5,4,4,2,420,445000,,,Casa en Venta en Samborondón/isla Mocolí/urbanización Dubai,-2.0924978,-79.85663260000001
1,4,4,3,500,700000,,,"Maravillosa Casa Al Lago, Iluminadisima.",-2.11981397419416,-79.86667794619143
,1,3,4,465,595000,,,"Urb. Laguna del Sol, Casa por Estrenar con Vista Al Lago",-2.0844192,-79.86818370000003
A estrenar,4,4,2,480,750000,,,Vendo Casa de Estreno Lagos de Batan,-2.0979672,-79.874552
12,3,0,0,520,315000,,,"Casa en Venta, Via Samborondon, Km 8 Urbanización Bonaire",-2.109737795839155,-79.86860047246091
20,4,4,2,531,280000,,,Venta Amplísimo Departamento en Colinas de Los Ceibos,-2.163154501899807,-79.94594401802237
26,7,7,0,251,142000,,,Casa Rentera en Venta en Sauces 8,-2.129119914496921,-79.90295889643403
15,4,4,2,660,790000,,,"Vendo Lujosa Casa en Samborondón, Urb. El Río",-2.135380689067804,-79.86228521213377
2,3,2,0,211,195000,,,Casa de 3 Habitaciones Vía Samborondon en Venta,-2.072482153948914,-79.8424739847946
32,6,5,0,251,192000,,,Vendo Amplia Casa en Alamos Norte,-2.1785203,-79.88755500000002
A estrenar,4,4,4,832,2200000,,,"Casa en Venta en La Urbanización Castelago, Vía Samborondón",-2.107305499999999,-79.872252
2,5,4,0,287,127000,,,"Casa en Venta, Urbanización Castilla, 127 m² Terreno y 160 m² Construcción",-2.04241750943956,-79.8633185306885
-2,4,4,2,220,430000,,,"Venta de Proyecto en Urb Isla Mocoli, Pacifica, Samborondon Cerca de Plaza Lagos",-2.1043031,-79.8604831
9,3,3,1,197,190000,,,Venta de Linda Casa en Ciudad Celeste,-2.075111017647299,-79.85773998714944
4,3,3,2,270,290000,,,Vendo Propiedad Totalmente Remodelada Urbanizacion Portal Al Sol,-2.1828318,-79.9840944
18,5,6,1,149,175000,,,Se Vende Linda Casa Ciudadela Guayacanes,-2.117758759982687,-79.8963536602356
A estrenar,3,3,1,212,140000,,,"Casa Para Estrenar en Venta, Urbanización Terranostra Vía a La Costa",-2.189967667128228,-80.00195052012941
7,6,4,0,81,135000,,,Venta de Casa Rentera en Sauces 7,-2.1243119101399,-79.88378503640138
A estrenar,3,2,1,250,235000,,,Venta de Casa por Estrenar 3 Dorm. Via a Samborondon,-2.127140090535618,-79.86288993548231
10,5,5,1,210,220000,,,Vendo Casa Urbanizacion Entre Rios 3 Plantas Excelentes Acabados,-2.148520005729534,-79.86659402173768
10,1,1,1,51,105000,,,Venta de Suite Edificio Samborondón Plaza,-2.138002399999999,-79.8639998
A estrenar,4,5,2,300,365000,,,"Los Ceibos - X Estrenar - Casa de 4 Dorm. - $365,000",-2.164781802664503,-79.94567300696326
8,4,3,1,120,92500,,,En Venta /negociable Milan / Verona,-2.038355873253485,-79.87033997672114
7,4,5,1,318,350000,,,Casa en Venta en Vista Sol Vía a Samborondón,-2.087432172796796,-79.87312946721192
20,4,3,2,380,285000,,,Venta y Alquiler de Casa con Piscina en Colinas de Los Ceibos,-2.164387438323206,-79.94552559341605
5,2,2,1,126,97000,,,Casa con Elegantes Acabados de 2 Plantas en Urbanizacion Castilla,-2.069647799999999,-79.93587639999998
6,4,3,2,330,425000,,,Oportunidad Venta de Villa Vía Samborondon Despues del Km 3,-2.0844192,-79.8681837
A estrenar,4,4,2,338,585000,,,Laguna del Sol Estrene Casa con Vista Al Lago - Enrique Rodríguez,-2.082678399999999,-79.8722576
6,3,3,2,317,260000,,,Villa 2 Plantas Master Abajo Ideal Para Tercera Edad,-2.0876143,-79.87337009999999
1,4,5,2,800,1800000,,,"Lagos del Batan, Modernisima Casa, Al Lago.",-2.08896217794766,-79.88724518740236
20,5,3,2,294,195000,,,"Casa con Cinco Dorm. en Venta en Los Almendros, Sur de Guayaquil.",-2.229026549932387,-79.8919644936401
8,3,3,2,300,194500,,,Moderna Casa de Venta Urb. Via Al Sol,-2.201833068318682,-80.0692202955509
8,4,4,1,568,450000,,,Puerto Azul - Casa - 4 Dorm. - Piscina,-2.192207128427595,-79.9700494508794
20,6,0,6,1008,445000,,,Vendo Casa Urdesa Central - Ideal Para Compañias - Dos Plantas,-2.165798588383933,-79.91138044553827
30,4,2,2,295,135000,,,Vendo Casa Calle Cuenca,-2.1985609,-79.90302150000002
,1,5,5,927,685000,,,"Samborondon - Casa en Venta - 5 Dorm. - Us$685,000",-2.1085513,-79.8719134
A estrenar,3,3,1,136,125000,,,Villa Club - Vendo Casa 2 Pisos - 3 Hab - Garaje - Pisc. Soc.,-2.04721325279514,-79.88866340259398
2,5,5,3,1100,1850000,,,Unica Casa con Esta Vista Al Lago y Areas Verdes.,-2.100197300454774,-79.87666558070373
60,5,5,0,240,90000,,,Vendo Amplia Casa Rentera Zona Comercial,-2.200324,-79.89637849999997
30,0,0,0,800,400000,,,Venta Vendo Casa en Circunvalación Urdesa,-2.1708178,-79.91151780000001
A estrenar,5,6,3,260,265000,,,Ciudad Celeste Casa con 5 Dorm.,-2.072820196756992,-79.83663207482391
6,6,6,3,1100,1450000,,,"Via Samborondón, Vista Lago en Pb 3 Dorm. Estudio, Pa Dp de 3 Dorm.",-2.111188819769686,-79.87128316856877
11,3,3,1,200,189000,,,Ciudad Celeste T 200 m² C 171 m² 3 Dorm. Garaje La Serena Km 10 Via Samborondon,-2.0746032,-79.84437980000001
En construcción,4,4,2,378,585000,,,Venta de Casa en Proyecto de 4 Dorm. en Isla Mocoli,-2.113334699999999,-79.8555825
En construcción,3,3,2,272,208000,,,En Venta Hermosa de Casa Amplia con Gran Patio y Hermosa Vista,-2.189967667128228,-80.00195052012941
7,5,4,2,323,235000,,,Hermosa Casa de Venta en Belohorizonte!,-2.183937,-79.983113
10,0,0,0,120,30000,,,Vendo Casa en La Floresta 1,-2.2533523,-79.8842826
,1,3,4,380,480000,,,Casa en Venta en Laguna Club Vía Costa,-2.1883249,-80.0255678
En construcción,3,3,2,350,550000,,,Vendo Casa en Proyecto con Excelentes Acabados Arrecife Isla Mocoli,-2.1043031,-79.8604831
,1,4,4,500,585000,,,"Samborondon Laguna del Sol, Vista Al Lago",-2.0840676,-79.8718822
4,3,2,2,160,62000,,,Casa Esquinera de Venta en Urbanización Villa del Rey,-2.021656744322068,-79.91729208413085
5,5,5,3,615,460000,,,Se Vende Amplia Casa en Portofino Via a La Costa,-2.184776968954733,-79.98472174040523
5,4,0,1,470,270000,,,Condominio Rentero,-2.125605397874015,-79.90324197301635
25,3,3,6,740,270000,,,Vendo Casa en El Sur Muy Buen Estado Amplio Patio con Piscina,-2.226513473704275,-79.89787625761107
3,0,2,1,84,75000,,,"Casa de Venta en Malaga, 3 Dorm.",-2.031203320041291,-79.86840536640932
10,4,4,2,250,300000,,,"Samborondon Km 4 - Casa 4 Dorm. - Us$300,000",-2.114834,-79.8681618
En construcción,4,4,2,600,600000,,,Venta Vendo Samborondon Casa de 4 Dorm.,-2.086153776090025,-79.86690303356016
2,10,6,10,220,150000,,,"Pongo a Vuestra Disposición, Una Propiedad Ideal Para Centro",-2.1358089,-79.90734299999997
4,4,3,2,178,145000,,,Amplia Casa de Venta en Urbanización Villa Club.,-2.03103369121621,-79.89289056400145
1,3,4,0,500,240000,,,"Casa en Venta, Urbanización Puerto Azul, Vía a La Costa",-2.192116,-79.96683080000003
50,4,4,6,800,287000,,,"Venta de Casa Antigua Para Inversion, Planta Baja",-2.162285609493887,-79.90832494444066
25,3,5,0,248,250000,,,Casa en Colinas de Los Ceibos · 3 Dorm.,-2.160506475178224,-79.94418933152156
14,2,1,1,119,62000,,,"Casa en Venta, Urbanización Colinas del Maestro",-2.076865332562519,-79.9141112587219
5,3,2,1,136,97000,,,Casa Dos Pisos en Venta Urbanización Cataluña,-2.043612249312913,-79.87035468255613
A estrenar,0,0,0,170,14900,,,Terreno Norte Guayaquil Mapasingue 170 m²,-2.15658072697668,-79.92611752317043
14,3,3,2,680,460000,,,Samborondon Casa 3 Dorm. en Muy Buena Urbanización de Km 4 Via Samborondón,-2.111835362099802,-79.87121391500852
15,4,4,2,250,255000,,,Se Vende Linda Casa Kennedy Norte Ideal Para Vivienda U Oficina,-2.155736318529246,-79.90253741169153
A estrenar,3,4,2,260,259000,,,"Casa Duplex por Estrenar de 3 Dorm., Urb. Puerto Azul",-2.189655532017107,-79.96490497392733
En construcción,4,4,2,480,478359,,,Pacifica en Isla Mocoli por Construir Espectacular Casa,-2.102442901125957,-79.8670732875496
6,3,4,2,620,560000,,,Vendo Hermosa Casa Via a Samborondon,-2.114834,-79.8681618
A estrenar,3,4,1,120,99943,,,Modelo Ria Urb. Casa Laguna,-2.047428283887769,-79.88254184017029
En construcción,4,4,2,860,549500,,,"Al Lago, Mejor Precio Imposible, Aires del Batan, Samborondon, Guayaquil",-2.0773404,-79.86969220000003
11,3,0,2,220,210000,,,Vendo Preciosa Casa en Puerto Azul,-2.192116,-79.96683080000003
5,3,4,2,383,270000,,,Estancias del Río - Preciosa Casa en Venta - Vía Samborondón - Amplio Patio,-2.0636536,-79.87833339999997
5,5,3,2,800,580000,,,Venta de Casa Cerca de Todos Lados,-2.174781112805589,-79.91021858400518
30,3,0,2,404,155000,,,Casa Ceibos 3 Dorm. Mas Estudio Zona Residencial,-2.1617491,-79.9304955
1,3,3,0,265,95000,,,"Casa en Venta, Villa Club, Etapa Floral",-2.050890890512851,-79.8909915600189
5,5,7,3,2000,2000000,,,Venta de Casa Via a Samborondon 5 Dorm.,-2.112218073202756,-79.87090488941038
19,4,4,7,1740,1600000,,,Vendo Una Casa y Tres Departamentos de Lujo en Lomas de Urdesa,-2.163385117160203,-79.90752889870606
A estrenar,4,5,2,330,380000,,,Casa de Estreno en Estancias del Río Samborondón - B. Boero,-2.0625285,-79.8773438
A estrenar,3,3,1,155,145000,,,Villa Club Etapa Luna Casa con 3 Dorm. 155 m² de Construcción,-2.033133529989004,-79.90052994299162
,33,0,0,0,50000,,,Casa - Sur de Guayaquil,-2.1521132,-79.9465699
2,3,4,1,120,78000,,,"Venta Hermosa Casa en Villas del Rey, Etapa Rey Arturo, Cerca Plaza Tia La Joya",-2.016295656452042,-79.92025324288329
7,4,4,1,316,340000,,,Casa Vendo Km 6 Vía Samborondón,-2.113293492088641,-79.87011957373045
A estrenar,3,2,1,135,75000,,,Venta Casa - Urbanizacion Villa del Rey Etapa Juan Carlos,-2.0248305,-79.91677709999999
,A estrenar,4,1,4,925000,,,Venta de Espectacular Casa de Lujo con Vista Al Río Guayas,-2.154569899999999,-79.8659089
1,4,4,1,250,208000,,,Vendo Casa en Ciudad Celeste Esquinera 4 Dorm. con Suite Independiente,-2.075982090708402,-79.8595194837036
A estrenar,2,2,1,100,145000,,,Departamento en Urbanización Privada de Oportunidad,-2.0479789,-79.90506149999999
A estrenar,3,2,1,120,84000,,,"Venta de Casa a Estrenar en Urb Logare, Cerca del Cc El Dorado",-2.0169076,-79.866398
2,3,3,2,335,325000,,,"Casa de Venta en Vereda del Río, en Vía Samborondón",-2.111188819769686,-79.87128316856877
15,4,1,3,597,400000,,,Amplia Propiedad de Venta en Los Ceibos.,-2.165695097817876,-79.93933977456055
2,3,2,1,100,89,,,"Vendo Casa en La Urbanización La Joya, Etapa Coral Modelo, W
buena Ubicación Área Social Privilegiad",-2.0495844,-79.9146923
30,1,1,1,300,380000,,,Vendo Villa Urdesa Sector Full Comercial en Ave Victor Emilio Estrada,-2.1644549,-79.91229629999998
A estrenar,4,4,2,180,158000,,,Venta de Casa Vía a La Costa Villas del Bosque $158.000,-2.204764625337658,-80.06717554748536
12,3,3,2,680,465000,,,"Urb Palmar del Rio - 3 Dorm. - Us$465,000",-2.1198895,-79.86674
En construcción,4,4,2,770,519500,,,"Mejor Precio Imposible, Aires del Batan, Samborondon, Guayaquil",-2.077683497087564,-79.87020718413089
En construcción,4,5,2,412,454000,,,"Casa de Venta, en Construcción, Isla Mocoli Urb. Pacifica Vía Samborondón",-2.1043031,-79.86048310000001
33,5,5,3,188,145000,,,Casa Rentera en Barrio del Seguro,-2.216212719284207,-79.89281263121336
A estrenar,3,2,1,114,77000,,,"Venta Casa en Urb. Villa del Rey, Etapa Juan Carlos Cerca a Plaza Tia La Joya",-2.016295656452042,-79.92025324288329
A estrenar,3,3,2,300,235000,,,"Puerto Azul - Casa 3 Dorm. - Us$235,000",-2.186680450956173,-79.97113306325991
En construcción,3,2,0,110,120000,,,Venta de Villa en Proyecto en San Antonio,-2.045026599999999,-79.8688651
3,4,4,4,693,890000,,,"Casa en Isla Mocoli, Mocoli Golf Club con Vista Al Lago",-2.1043031,-79.8604831
5,3,3,2,200,210000,,,"Casa en Venta Urb. Punta Esmeraldas, Vía a La Costa",-2.186849699999999,-79.9940966
A estrenar,3,3,2,260,320800,,,Casa 3 Dorm. por Estrenar Isla Mocoli en Venta,-2.104303099999986,-79.8588415880829
A estrenar,4,4,1,300,240000,,,Se Vende Linda Casa Puerto Azul,-2.192116,-79.96683080000003
8,3,2,2,198,155000,,,Vendo Casa Al Contado Remodelada Urbanización Santa Maria de Casa Grande,-2.051322,-79.89351979999998
En construcción,3,3,2,180,230000,,,Casa en Venta Puerto Azul,-2.184635972847022,-79.99533423818895
9,3,4,1,171,144000,,,Linda Casa en Venta en La Urb. Altos del Rio,-2.0507188,-79.9118717
,1,4,4,520,595000,,,Isla Mocoli Espectaculares Casas en Barlovento,-2.1043031,-79.8604831
,1,4,4,660,520000,,,Samboronon Casa en Venta Palmar del Río en $520.000 Negociable,-2.1231067,-79.8709837
10,5,4,0,1217,700000,,,"Samborondon - Casa en Venta - Exclusiva - 5 Dorm. - Us$700,000",-2.145416890700291,-79.8632706443359
A estrenar,3,2,2,105,103000,,,Vendo Casa Villa Club Acabados de Primera (Bono de 2.000 Aplica a Tu Entrada),-2.037220328729791,-79.8929549370178
15,4,2,3,170,110000,,,Casa Re - Modela de Venta en La Alborada.,-2.139379115716652,-79.90168480157467
6,5,5,2,124,98000,,,Casa de Venta con Cinco Dorm. en Urbanización La Joya.,-2.053850318861618,-79.91808379050445
25,4,4,2,250,180000,,,"Casa N Urdesa, Av Circunvalacion, Urbanizacion Privada,3 Dorm + Estudio,2 Parqueos",-2.176295639375392,-79.90809459632567
A estrenar,4,6,2,347,580000,,,"Venta Casa de Estreno, Urb. Arrecife, Isla Mocoli",-2.1133347,-79.85558249999997
10,7,9,4,580,495000,,,"Venta de Casa Esquinera en Urb. Tennis Club, Vía Samborondón",-2.1170338,-79.87147010000001
23,4,5,2,549,400000,,,"Unica Casa Llena de Detalles, Tiene Todo Lo Que Ud. Se Pueda Imaginar.",-2.129328528769757,-79.87009544130859
En construcción,4,4,2,332,388000,,,Venta - Casa - Duplex - Proyecto - Estancias del Rio - Samborondon,-2.075939203530357,-79.8746686002197
15,3,3,2,185,290000,,,Casa en Venta Urb. Las Riberas,-2.1436415,-79.8614204
A estrenar,0,5,2,148,138000,,,Casa - Samborondón,-2.069647799999999,-79.9358764
9,4,3,2,192,232000,,,Casa en Santa Maria de Casa Grande,-2.046447,-79.8953297
En construcción,3,3,1,580,308000,,,"Casa de Venta Ubicada en Isla Mocoli, Km 6 Via Samborondon, Guayaquil",-2.1043031,-79.86048310000001
8,3,3,2,246,200000,,,Vendo Villa con Piscina en Cumbres Sector Bajo Doble Seguridad,-2.1571068,-79.94646999999998
6,3,3,2,304,480000,,,Venta de Preciosa Villa en Portofino,-2.183936999999999,-79.983113
12,5,5,7,2359,950000,,,Venta de Propiedad Espectacular en Lomas de Urdesa,-2.1658754,-79.9044282
3,3,5,2,160,150000,,,Hermosa Casa Matices 3 Dorm/ 160 M²/garaje/km 11 Av Samborondon,-2.057157614401009,-79.87446434177247
2,3,5,1,133,115000,,,Hermosa Casa de Estreno Villa Club Etapa Natura,-2.038807192064719,-79.89484321216429
22,6,4,2,300,200000,,,Vendo Villa con Dos Departamentos en Urdesa,-2.163321995640298,-79.91420212942194
A estrenar,4,8,4,900,600000,,,"Lomas de Urdesa, Casa de Lujo en Venta.",-2.164754858145801,-79.90641880793459
25,4,7,5,879,750000,,,"Casa en Venta, Urbanizacion La Puntilla, Via Samborondon",-2.0472153,-79.91378299999997
A estrenar,3,2,2,120,95000,,,"Venta de Casa de Estreno, Urb. Arboletta, Vía Salitre",-2.0139778,-79.8674512
18,0,0,0,120,98000,,,Se Vende Casa en La Alborada 13 Va Etapa Mz 16,-2.1221102,-79.90317759999999
2,3,3,2,590,550000,,,"Maravillosa Casa Minimalista, Inteligente con Piscina.",-2.098682579639986,-79.87326658916322
12,3,2,1,341,160000,,,Hermosa Casa en Venta Cuidad Celeste Etapa La Ria,-2.071613787296468,-79.84206462327882
12,2,2,2,550,450000,,,Venta Villa Una Planta Urdesa Central,-2.171177199999999,-79.9047801
6,3,3,2,254,280000,,,Amplia y Remodelada Casa en Parques del Rio,-2.1448075,-79.86118320000003
18,5,5,0,260,95000,,,Se Vende Casa Al Sur de Guayaquil Cdla. Pradera2 Cerca de La Av Domingo Comín,-2.2409344,-79.89107339999998
3,3,3,2,145,88000,,,"Hermosa Casa en La Joya Etapa Ambar, 3 Dorm, 2 Parqueos",-2.046665273653481,-79.9114201526184
12,4,3,1,192,137000,,,Vendo Casa en Urbanización Matices,-2.191526053604974,-79.88158962297365
1,4,3,2,131,171000,,,Vendo Casas de Estreno en Ciudad Celeste Etapa Arboleda,-2.0694324,-79.8416923
5,5,7,5,1306,2200000,,,Via Samborondon Villa Inteligente de Estilo Minimalista Vista Al Lago en Venta,-2.02002349540717,-79.86706137198917
5,3,3,2,280,330000,,,Se Vende Bonita Villa en Vía a Samborondón Urb Terrasol,-2.107305499999999,-79.872252
7,3,3,1,140,199000,,,Bellisima Casa Vendo en Puerto Azul,-2.192116,-79.96683080000003
En construcción,3,3,2,730,419000,,,"Casa de Venta, Terreno Al Lago, Ubicada en La Isla Mocoli, Av Samborondon",-2.1043031,-79.86048310000001
10,4,4,2,600,540000,,,Hermosa Casa Vendo Junto a Olivos!,-2.167330509584343,-79.94503690957032
3,3,2,1,180,158000,,,Ciudad Celeste Se Vende Villa de Dos Plantas,-2.073680640891598,-79.87349253521029
5,6,8,2,1247,850000,,,Vendo Casa Lujosa en Laguna Club Via La Costa,-2.1856104,-79.9899024
En construcción,4,4,2,450,850000,,,Casa - Samborondón,-2.0744394,-79.8905631
A estrenar,3,2,1,112,93000,,,Alquilo Casa en Urbanizacion La Rioja,-2.057191752422993,-79.92844572062376
9,3,2,0,170,95000,,,En Venta Casa de Una Planta en Valle Alto - J. Moncada,-2.203753236102099,-80.06007988728027
5,2,1,2,120,58000,,,"Casa de Venta en Metrópolis 2, Una Planta, Dos Dorm..",-2.065507900349479,-79.91760815822755
10,3,5,2,300,279000,,,Hermoza Casa en Puerto Azul,-2.190154058536215,-79.96537167829592
