antigüedad,cuartos,cuartosdebaño,estacionamiento,latlong,metroscuadradostotales,precio,publicado,tipodevendedor,titulo
Entre 5 y 10 años,4,4,Si,"https://www.google.com/maps/place/-2.138768196105957,-79.59405517578125",200,$146.500,Publicado hace 5 hs,Dueño Directo,Oportunidad Santa Maria Casa Grande
Entre 20 y 50 años,10,7,No,"https://www.google.com/maps/place/-2.2179999351501465,-79.89600372314453",355, $79.000,Publicado hace 5 hs,Inmobiliaria,Barrio del Seguro vendo edificio rentero 3 plantas con multiples areas para uso comercial y de vivienda
Entre 5 y 10 años,6,4,Si,"https://www.google.com/maps/place/-2.134000062942505,-79.87100219726562",200, $75.000,Publicado hace 5 hs,Inmobiliaria,"Venta Casa 2 plantas, Guayacanes bifamiliar, medianera"
Hasta 5 años,4,4,Si,"https://www.google.com/maps/place/-2.244999885559082,-79.8949966430664",250, $155.000,Publicado hace 6 hs,Inmobiliaria,"Casa en Venta en Castilla, Samborondon cerca del Mall Samborondon"
Entre 10 y 20 años,3,3,No,"https://www.google.com/maps/place/-2.2160000801086426,-79.88899993896484",166, $81.000,Publicado hace 6 hs,Inmobiliaria,Vendo Dpto Ed. San Sebastian Excelente Ubicacion - R. Hurtado - J. Moncada
Entre 10 y 20 años,10,10,Si,"https://www.google.com/maps/place/-2.244999885559082,-79.8949966430664",450, $350.000,Publicado hace 6 hs,Inmobiliaria,Casa Rentera / Edificio Gomez Rendon y la 14
Entre 5 y 10 años,4,8,Si,"https://www.google.com/maps/place/-2.2660000324249268,-79.8740005493164",186, $120.000,Publicado hace 6 hs,Inmobiliaria,"Casa en Venta en Matices, Samborondon, frente al Dorado"
Entre 10 y 20 años,3,1,Si,"https://www.google.com/maps/place/-2.18935489654541,-79.88920593261719",207,$67.000,Publicado hace 6 hs,Dueño Directo,Casa Esquinera Oportunidad Florida Norte
Entre 10 y 20 años,1,1,Si,"https://www.google.com/maps/place/-2.1710000038146973,-79.9219970703125",560,$200.000,Publicado hace 6 hs,Dueño Directo,Vendo Casa Rentera Sector Comercial
Entre 10 y 20 años,5,4,Si,"https://www.google.com/maps/place/-2.1459999084472656,-79.89199829101562",275, $229.000,Publicado hace 6 hs,Inmobiliaria,Venta de Casa en Garzota Norte de Guayaquil
Entre 10 y 20 años,3,3,Si,"https://www.google.com/maps/place/-2.1570000648498535,-79.9010009765625",150, $110.000,Publicado hace 6 hs,Inmobiliaria,"Departamento de Venta Kennedy Norte Cerca del Parque Lineal, cerca del SRI"
Hasta 5 años,2,2,Si,"https://www.google.com/maps/place/-2.191999912261963,-79.96700286865234",80, $90.000,Publicado hace 6 hs,Inmobiliaria,"Venta de Departamento en la Urb. Puerto Azul, Vía a la Costa, cerca de Laguna Plaza."
Entre 20 y 50 años,10,10,Si,"https://www.google.com/maps/place/-2.1559998989105225,-79.94499969482422",500, $275.000,Publicado hace 6 hs,Inmobiliaria,Garzota Casa Rentera Crédito Bancario
Hasta 5 años,3,2,Si,"https://www.google.com/maps/place/-2.1549999713897705,-79.94100189208984",127, $120.000,Publicado hace 5 hs,Inmobiliaria,"Departamento de venta, Urbanización La cumbre Alta, Sector Ceibos, Cerca del C.C. Riocentro Ceibos"
Entre 5 y 10 años,2,2,Si,"https://www.google.com/maps/place/-2.0959999561309814,-79.90899658203125",65, $46.000,Publicado hace 5 hs,Dueño Directo,"Vendo casa 2 plantas en Huancavilca Norte, cerca al Parque Samanes, Av Orellana"
A estrenar,3,3,Si,"https://www.google.com/maps/place/-2.1040000915527344,-79.91600036621094",100,$68.000,Publicado hace 5 hs,Inmobiliaria,Venta de casa en ciudadela Villa del Rey sector Norte cerca al Centro Comercial El Dorado
,4,4,Si,"https://www.google.com/maps/place/-2.191999912261963,-79.91699981689453",134,$106.000,Publicado hace 5 hs,Dueño Directo,Casa en Venta - Urbanización Cataluña
Entre 10 y 20 años,4,5,Si,"https://www.google.com/maps/place/-2.181999921798706,-79.97000122070312",206, $220.000,Publicado hace 5 hs,Inmobiliaria,"Casa de Venta en La Garzota, Norte de Guayaquil, cerca del Centro Comercial Mall del Sol"
Hasta 5 años,2,2,Si,"https://www.google.com/maps/place/-2.096,-79.911",130,$50.000,Publicado hace 5 hs,Inmobiliaria,Vende Villa Vergeles
En construcción,1,,Si,"https://www.google.com/maps/place/-2.7260000705718994,-80.29399871826172",160, $10.000,Publicado hace 5 hs,Dueño Directo,vendo casa  de remate a 100 metros de la playa
Entre 20 y 50 años,10,10,No,"https://www.google.com/maps/place/-2.132999897003174,-79.87100219726562",550, $615.000,Publicado hace 5 hs,Inmobiliaria,"Venta Casa-rentera, Avda. Machala, 3 pisos"
Entre 5 y 10 años,3,1,Si,"https://www.google.com/maps/place/-2.190999984741211,-79.93399810791016",72,$45.000,Publicado hace 5 hs,Dueño Directo,Vendo Villa en Mucho Lote 1
Entre 5 y 10 años,2,3,Si,"https://www.google.com/maps/place/-2.24399995803833,-79.90699768066406",210, $78.000,Publicado hace 5 hs,Dueño Directo,"Se vende amplia casa y terreno Sur Guayaquil. Oportunidad en ciudadela La Fragata, Guayaquil"
A estrenar,3,5,Si,"https://www.google.com/maps/place/-2.187471628189087,-80.0060806274414",180, $160.000,Publicado hace 5 hs,Inmobiliaria,VENTA DE CASA EN VILLAS DEL BOSQUE VIA A LA COSTA
Hasta 5 años,2,2,Si,"https://www.google.com/maps/place/-2.0959999561309814,-79.91100311279297",130,$50.000,Publicado hace 5 hs,Inmobiliaria,Vende Casa Vergeles por Autopista
Hasta 5 años,2,2,Si,"https://www.google.com/maps/place/-2.0959999561309814,-79.91100311279297",105,$50.000,Publicado hace 5 hs,Inmobiliaria,Vende Casa Las Orquideas
Entre 10 y 20 años,6,6,Si,"https://www.google.com/maps/place/-2.1579999923706055,-79.90499877929688",630,$185.000,Publicado hace 5 hs,Inmobiliaria,"Casa en venta en el norte de Guayaquil, en URDESA NORTE OPORTUNIDAD"
Entre 5 y 10 años,5,3,Si,"https://www.google.com/maps/place/-2.13700008392334,-79.89600372314453",194, $140.000,Publicado hace 11 hs,Inmobiliaria,"Casa en venta Esquinera, casa rentera, en Alborada 5ta Etapa"
Entre 20 y 50 años,3,2,No,"https://www.google.com/maps/place/-2.2269999980926514,-79.8949966430664",84,$65.000,Publicado hace 1 día,Inmobiliaria,#Se Vende en Barrio Del Seguro 2 Plantas/ CERCA DE CENTENARIO/ 0982712236/ PARQUE FORESTAL/ SUR
Entre 20 y 50 años,6,8,Si,"https://www.google.com/maps/place/-2.1710000038146973,-79.9219970703125",2558, $1.150.000,Publicado hace 10 hs,Inmobiliaria,Vendo Casa Via Samborondon
Entre 10 y 20 años,3,4,Si,"https://www.google.com/maps/place/-2.191999912261963,-79.96700286865234",163, $130.000,Publicado hace 9 hs,Inmobiliaria,VENTA CASA 3 DORMITORIOS EN PUERTO AZUL VÍA A LA COSTA GUAYAQUIL ECUADOR
Entre 10 y 20 años,4,5,Si,"https://www.google.com/maps/place/-2.134,-79.914",350,$380.000,Publicado hace 5 hs,Inmobiliaria,Venta de Casa El Álamo Norte de Gye
Entre 10 y 20 años,2,3,Si,"https://www.google.com/maps/place/-2.251217842102051,-79.8987808227539",98,$63.000,Publicado hace 4 hs,Inmobiliaria,Vendo Casa Esquinera Sur de Guayaquil
Entre 20 y 50 años,5,5,Si,"https://www.google.com/maps/place/-2.134000062942505,-79.87100219726562",300, $175.000,Publicado hace 5 hs,Inmobiliaria,"Venta Casa, 2 planta en El Centenario"
Entre 10 y 20 años,6,4,No,"https://www.google.com/maps/place/-2.1187853813171387,-79.9065170288086",650, $110.000,Publicado hace 4 hs,Dueño Directo,Venta Condominio Rentero 4 departamentos sauces 6 en peatonal
Entre 5 y 10 años,3,4,Si,"https://www.google.com/maps/place/-2.180000066757202,-79.98699951171875",270, $168.900,Publicado hace 4 hs,Inmobiliaria,VENTA CASA VIA A LA COSTA CASA CLUB
Entre 10 y 20 años,8,10,No,"https://www.google.com/maps/place/-2.188999891281128,-79.89099884033203",865, $600.000,Publicado hace 4 hs,Inmobiliaria,"Venta-edificio rentero, Centro de Gquil, G. Moreno y 9 de Octubre"
Entre 10 y 20 años,4,4,Si,"https://www.google.com/maps/place/-2.1540000438690186,-79.86599731445312",1800, $1.250.000,Publicado hace 4 hs,Inmobiliaria,RESIDENCIA DE LUJO  URBANIZACION PLAZA LAGOS SAMBORONDON
Entre 10 y 20 años,4,4,Si,"https://www.google.com/maps/place/-2.132999897003174,-79.87200164794922",780, $325.000,Publicado hace 4 hs,Inmobiliaria,"Venta Casa p. baja, Km 2 1/2 Vía Samborondon, cerca de la UESS, vendo casa"
Entre 5 y 10 años,3,3,No,"https://www.google.com/maps/place/-2.167790412902832,-79.91097259521484",132, $105.000,Publicado hace 6 hs,Dueño Directo,Departamento Centro de Guayaquil
Entre 10 y 20 años,5,7,Si,"https://www.google.com/maps/place/-2.244999885559082,-79.8949966430664",310, $268.000,Publicado hace 5 hs,Inmobiliaria,Venta de Casa en Colinas de Los Ceibos con una Suite
Entre 20 y 50 años,3,3,No,"https://www.google.com/maps/place/-2.1659998893737793,-79.89399719238281",120, $60.000,Publicado hace 2 días,Inmobiliaria,CENTRO VENDO DPTO. SECTOR BAHÍA
Hasta 5 años,3,3,Si,"https://www.google.com/maps/place/-2.2219998836517334,-79.89700317382812",102, $105.000,Publicado hace 3 hs,Inmobiliaria,"Hermosa casa de venta en La Joya, Etapa Coral, remodelada."
Hasta 5 años,1,1,Si,"https://www.google.com/maps/place/-2.134999990463257,-79.91400146484375",75, $78.000,Publicado hace 3 hs,Dueño Directo,"Vendo suite en La Vista Towers, Sector Norte, cerca a C.C. CITY MALL"
Entre 10 y 20 años,2,2,Si,"https://www.google.com/maps/place/-2.2130000591278076,-79.93099975585938",120,$60.000,Publicado hace 2 hs,Dueño Directo,Se vende casa con local comercial frente al hospital Guayaquil
Hasta 5 años,4,4,Si,"https://www.google.com/maps/place/-2.187000036239624,-79.97799682617188",313, $187.000,Publicado hace 3 hs,Dueño Directo,"Casa en Belo Horizonte Via a la Costa, 313 Mts"
Entre 20 y 50 años,3,2,Si,"https://www.google.com/maps/place/-2.1649999618530273,-79.91400146484375",250, $146.000,Publicado hace 2 hs,Inmobiliaria,"Venta de Casa en Urdesa, norte de Guayaquil, cerca de la Parrillada del Ñato, a una cuadra de la Victor E Estrada"
Entre 10 y 20 años,3,6,Si,"https://www.google.com/maps/place/-2.1510000228881836,-79.86699676513672",300, $170.000,Publicado hace 3 hs,Dueño Directo,"DEP. ENTRE RIOS (solo interesados, NO corredores)"
Entre 5 y 10 años,2,2,No,"https://www.google.com/maps/place/-2.1410000324249268,-79.90799713134766",66, $40.000,Publicado hace 2 hs,Dueño Directo,Venta de Departamento con 2 dormitorios en centro de la ciudad
A estrenar,3,3,Si,"https://www.google.com/maps/place/-2.1630001068115234,-79.93099975585938",105,$118.000,Publicado hace 2 hs,Dueño Directo,"Vendo apartamento en VIZCAYA GARDENS, cerca de C.C. RIOCENTRO CEIBOS, Norte de Guayaquil"
Entre 10 y 20 años,4,4,,"https://www.google.com/maps/place/-2.161486,-79.917257",250,$125.000,Publicado hace 6 hs,,Casa de venta en Salinas – código:16252
Hasta 5 años,1,1,Si,"https://www.google.com/maps/place/-2.1640000343322754,-79.9020004272461",108, $104.000,Publicado hace 6 hs,Dueño Directo,vendo hermosa suite en la ciudadela la FAE norte de guayaquil
